ID,Session,Condition,Period,Time,Max_Strength
Sub01,Session1,2.5-15,1st_45min,0,79
Sub01,Session1,2.5-15,1st_45min,9,73.2
Sub01,Session1,2.5-15,1st_45min,18,77.8
Sub01,Session1,2.5-15,1st_45min,27,72.2
Sub01,Session1,2.5-15,1st_45min,36,69.2
Sub01,Session1,2.5-15,1st_45min,45,74.6
Sub01,Session1,2.5-15,2nd_45min,60,65.6
Sub01,Session1,2.5-15,2nd_45min,69,65.8
Sub01,Session1,2.5-15,2nd_45min,78,74.2
Sub01,Session1,2.5-15,2nd_45min,87,64
Sub01,Session1,2.5-15,2nd_45min,96,68
Sub01,Session1,2.5-15,2nd_45min,105,68
Sub01,Session1,2.5-15,3rd_45min,120,64
Sub01,Session1,2.5-15,3rd_45min,129,70.2
Sub01,Session1,2.5-15,3rd_45min,138,66.4
Sub01,Session1,2.5-15,3rd_45min,147,69.2
Sub01,Session1,2.5-15,3rd_45min,156,66.4
Sub01,Session1,2.5-15,3rd_45min,165,74.2
Sub01,Session2,2.5-10,1st_45min,0,89.8
Sub01,Session2,2.5-10,1st_45min,9,90.6
Sub01,Session2,2.5-10,1st_45min,18,84.6
Sub01,Session2,2.5-10,1st_45min,27,83
Sub01,Session2,2.5-10,1st_45min,36,83.2
Sub01,Session2,2.5-10,1st_45min,45,81.6
Sub01,Session2,2.5-10,2nd_45min,60,82.6
Sub01,Session2,2.5-10,2nd_45min,69,87.2
Sub01,Session2,2.5-10,2nd_45min,78,80
Sub01,Session2,2.5-10,2nd_45min,87,80
Sub01,Session2,2.5-10,2nd_45min,96,78.8
Sub01,Session2,2.5-10,2nd_45min,105,77.4
Sub01,Session2,2.5-10,3rd_45min,120,72.6
Sub01,Session2,2.5-10,3rd_45min,129,77
Sub01,Session2,2.5-10,3rd_45min,138,82.8
Sub01,Session2,2.5-10,3rd_45min,147,77
Sub01,Session2,2.5-10,3rd_45min,156,78.6
Sub01,Session2,2.5-10,3rd_45min,165,78
Sub01,Session3,2.5-5,1st_45min,0,81.4
Sub01,Session3,2.5-5,1st_45min,9,85.4
Sub01,Session3,2.5-5,1st_45min,18,85
Sub01,Session3,2.5-5,1st_45min,27,79.2
Sub01,Session3,2.5-5,1st_45min,36,87.4
Sub01,Session3,2.5-5,1st_45min,45,78.4
Sub01,Session3,2.5-5,2nd_45min,60,72.6
Sub01,Session3,2.5-5,2nd_45min,69,82.2
Sub01,Session3,2.5-5,2nd_45min,78,78.4
Sub01,Session3,2.5-5,2nd_45min,87,78.2
Sub01,Session3,2.5-5,2nd_45min,96,78.2
Sub01,Session3,2.5-5,2nd_45min,105,77.8
Sub01,Session3,2.5-5,3rd_45min,120,77
Sub01,Session3,2.5-5,3rd_45min,129,82.2
Sub01,Session3,2.5-5,3rd_45min,138,76.8
Sub01,Session3,2.5-5,3rd_45min,147,74.4
Sub01,Session3,2.5-5,3rd_45min,156,86
Sub01,Session3,2.5-5,3rd_45min,165,78
Sub01,Session4,1.5-15,1st_45min,0,77.6
Sub01,Session4,1.5-15,1st_45min,9,71.2
Sub01,Session4,1.5-15,1st_45min,18,72.6
Sub01,Session4,1.5-15,1st_45min,27,78
Sub01,Session4,1.5-15,1st_45min,36,73.6
Sub01,Session4,1.5-15,1st_45min,45,74
Sub01,Session4,1.5-15,2nd_45min,60,76.8
Sub01,Session4,1.5-15,2nd_45min,69,76.8
Sub01,Session4,1.5-15,2nd_45min,78,74.2
Sub01,Session4,1.5-15,2nd_45min,87,78.2
Sub01,Session4,1.5-15,2nd_45min,96,81.8
Sub01,Session4,1.5-15,2nd_45min,105,72.8
Sub01,Session4,1.5-15,3rd_45min,120,77.4
Sub01,Session4,1.5-15,3rd_45min,129,85.8
Sub01,Session4,1.5-15,3rd_45min,138,81.6
Sub01,Session4,1.5-15,3rd_45min,147,73.8
Sub01,Session4,1.5-15,3rd_45min,156,78.6
Sub01,Session4,1.5-15,3rd_45min,165,80
Sub02,Session1,2.5-15,1st_45min,0,79
Sub02,Session1,2.5-15,1st_45min,9,84.4
Sub02,Session1,2.5-15,1st_45min,18,79.6
Sub02,Session1,2.5-15,1st_45min,27,77.6
